2,100,10
2,500,29
2,1000,50
2,5000,230
4,100,7
4,500,16
4,1000,27
4,5000,119
8,100,5
8,500,10
8,1000,16
8,5000,66
16,100,9
16,500,8
16,1000,13
16,5000,49
