1,10,1.81,1.67
1,40,5.85,5.56
1,70,8.82,6.09
1,100,8.04,9.46
4,10,1.22,1.3
4,40,3.46,4.29
4,70,7.9,10.6
4,100,14.72,14.62
7,10,2.31,2.65
7,40,6.58,6.54
7,70,10.79,10.8
7,100,15.24,15.11
10,10,2.87,2.59
10,40,6.82,6.87
10,70,11.03,10.77
10,100,15.26,17.05
